diseases,symptons
Fungal infection,"itching,  skin rash,  nodal skin eruptions,  dischromic  patches"
Fungal infection," skin rash,  nodal skin eruptions,  dischromic  patches"
Fungal infection," nodal skin eruptions, itching,  dischromic  patches"
Fungal infection," dischromic  patches,  skin rash, itching"
Fungal infection," skin rash,  nodal skin eruptions, itching"
Fungal infection," dischromic  patches,  nodal skin eruptions,  skin rash"
Fungal infection," nodal skin eruptions, itching,  dischromic  patches"
Fungal infection,"itching,  dischromic  patches,  skin rash"
Fungal infection," skin rash,  nodal skin eruptions, itching"
Fungal infection," skin rash, itching,  nodal skin eruptions,  dischromic  patches"
Allergy," shivering,  watering from eyes,  chills,  continuous sneezing"
Allergy," watering from eyes,  shivering,  chills"
Allergy," continuous sneezing,  chills,  watering from eyes"
Allergy," continuous sneezing,  watering from eyes,  shivering"
Allergy," chills,  shivering,  continuous sneezing"
Allergy," watering from eyes,  chills,  shivering"
Allergy," chills,  continuous sneezing,  watering from eyes"
Allergy," shivering,  continuous sneezing,  watering from eyes"
Allergy," shivering,  continuous sneezing,  chills"
Allergy," chills,  shivering,  continuous sneezing,  watering from eyes"
GERD," ulcers on tongue,  chest pain,  stomach pain,  acidity,  cough,  vomiting"
GERD," ulcers on tongue,  chest pain,  stomach pain,  acidity,  cough,  vomiting"
GERD," ulcers on tongue,  chest pain,  vomiting,  stomach pain"
GERD," ulcers on tongue,  chest pain,  vomiting,  stomach pain"
GERD," acidity,  vomiting,  stomach pain,  chest pain"
GERD," acidity,  vomiting,  stomach pain,  chest pain"
GERD," cough,  chest pain,  acidity,  ulcers on tongue,  stomach pain"
GERD," cough,  chest pain,  acidity,  ulcers on tongue,  stomach pain"
GERD," acidity,  vomiting,  chest pain,  ulcers on tongue,  stomach pain"
GERD," acidity,  vomiting,  chest pain,  ulcers on tongue,  stomach pain"
GERD," acidity,  vomiting,  ulcers on tongue,  stomach pain,  cough"
GERD," acidity,  vomiting,  ulcers on tongue,  stomach pain,  cough"
GERD," vomiting,  ulcers on tongue,  chest pain,  cough,  acidity"
GERD," vomiting,  ulcers on tongue,  chest pain,  cough,  acidity"
GERD," chest pain,  stomach pain,  cough,  ulcers on tongue,  vomiting"
GERD," chest pain,  stomach pain,  cough,  ulcers on tongue,  vomiting"
GERD," stomach pain,  chest pain,  acidity,  vomiting,  cough"
GERD," stomach pain,  chest pain,  acidity,  vomiting,  cough"
GERD," cough,  chest pain,  ulcers on tongue,  stomach pain"
GERD," cough,  chest pain,  ulcers on tongue,  stomach pain"
