,diseases,symptons
0,Fungal infection," skin rash,  nodal skin eruptions, itching,  dischromic  patches"
1,Fungal infection," dischromic  patches,  skin rash,  nodal skin eruptions"
2,Fungal infection," dischromic  patches, itching,  nodal skin eruptions"
3,Fungal infection," dischromic  patches, itching,  skin rash"
4,Fungal infection," nodal skin eruptions,  skin rash, itching"
5,Fungal infection," skin rash,  nodal skin eruptions,  dischromic  patches"
6,Fungal infection," dischromic  patches, itching,  nodal skin eruptions"
7,Fungal infection," dischromic  patches, itching,  skin rash"
8,Fungal infection,"itching,  skin rash,  nodal skin eruptions"
9,Fungal infection,"itching,  dischromic  patches,  skin rash,  nodal skin eruptions"
10,Allergy," shivering,  watering from eyes,  chills,  continuous sneezing"
11,Allergy," shivering,  watering from eyes,  chills"
12,Allergy," chills,  watering from eyes,  continuous sneezing"
13,Allergy," shivering,  continuous sneezing,  watering from eyes"
14,Allergy," chills,  shivering,  continuous sneezing"
15,Allergy," chills,  shivering,  watering from eyes"
16,Allergy," chills,  watering from eyes,  continuous sneezing"
17,Allergy," shivering,  continuous sneezing,  watering from eyes"
18,Allergy," continuous sneezing,  chills,  shivering"
19,Allergy," shivering,  continuous sneezing,  chills,  watering from eyes"
20,GERD," cough,  ulcers on tongue,  vomiting,  stomach pain,  chest pain,  acidity"
21,GERD," cough,  ulcers on tongue,  vomiting,  stomach pain,  chest pain,  acidity"
22,GERD," vomiting,  ulcers on tongue,  chest pain,  cough,  stomach pain"
23,GERD," vomiting,  ulcers on tongue,  chest pain,  cough,  stomach pain"
24,GERD," stomach pain,  chest pain,  acidity,  vomiting,  cough"
25,GERD," stomach pain,  chest pain,  acidity,  vomiting,  cough"
26,GERD," stomach pain,  cough,  chest pain,  acidity"
27,GERD," stomach pain,  cough,  chest pain,  acidity"
28,GERD," ulcers on tongue,  chest pain,  stomach pain,  acidity"
29,GERD," ulcers on tongue,  chest pain,  stomach pain,  acidity"
30,GERD," vomiting,  ulcers on tongue,  acidity,  stomach pain,  cough"
31,GERD," vomiting,  ulcers on tongue,  acidity,  stomach pain,  cough"
32,GERD," chest pain,  ulcers on tongue,  acidity,  cough,  vomiting"
33,GERD," chest pain,  ulcers on tongue,  acidity,  cough,  vomiting"
34,GERD," cough,  chest pain,  stomach pain,  vomiting,  ulcers on tongue"
35,GERD," cough,  chest pain,  stomach pain,  vomiting,  ulcers on tongue"
36,GERD," acidity,  chest pain,  stomach pain,  cough"
37,GERD," acidity,  chest pain,  stomach pain,  cough"
38,GERD," cough,  acidity,  ulcers on tongue,  chest pain,  stomach pain"
39,GERD," cough,  acidity,  ulcers on tongue,  chest pain,  stomach pain"
40,Chronic cholestasis," yellowish skin,  nausea,  abdominal pain, itching,  vomiting,  yellowing of eyes"
41,Chronic cholestasis," yellowish skin,  nausea,  abdominal pain, itching,  vomiting,  yellowing of eyes"
42,Chronic cholestasis," loss of appetite,  abdominal pain,  vomiting,  yellowish skin,  nausea"
43,Chronic cholestasis," loss of appetite,  abdominal pain,  vomiting,  yellowish skin,  nausea"
44,Chronic cholestasis," loss of appetite, itching,  yellowing of eyes,  abdominal pain"
45,Chronic cholestasis," loss of appetite, itching,  yellowing of eyes,  abdominal pain"
46,Chronic cholestasis," nausea,  vomiting,  abdominal pain, itching"
47,Chronic cholestasis," nausea,  vomiting,  abdominal pain, itching"
48,Chronic cholestasis," yellowish skin,  vomiting,  loss of appetite, itching,  yellowing of eyes,  abdominal pain"
49,Chronic cholestasis," yellowish skin,  vomiting,  loss of appetite, itching,  yellowing of eyes,  abdominal pain"
50,Chronic cholestasis," nausea,  abdominal pain,  vomiting,  yellowish skin, itching"
51,Chronic cholestasis," nausea,  abdominal pain,  vomiting,  yellowish skin, itching"
52,Chronic cholestasis," nausea,  yellowing of eyes,  vomiting, itching,  yellowish skin,  loss of appetite"
